date,open,high,low,close,volume
1998-08-24,31.8672,32.0383,31.696,32.0072,1502801
1998-08-25,32.1472,32.5829,31.7738,31.9761,1370927
1998-08-26,31.6805,32.8008,31.6182,32.5829,2297741
1998-08-27,32.0539,32.0539,31.0736,31.1825,3826479
1998-08-28,31.1825,31.3225,30.0777,30.5134,3022159
1998-08-31,30.6223,30.7157,28.0393,28.0393,3899076
1998-09-01,28.1327,29.611,27.5726,29.362,4374810
1998-09-02,30.1244,30.809,29.8443,29.9999,2931117
1998-09-03,29.5642,30.5445,29.393,30.3111,2512006
1998-09-04,30.4978,30.5912,28.7084,29.7198,2147321
1998-09-08,31.1047,31.3537,30.42,31.3537,2417948
1998-09-09,31.3069,31.7271,30.7157,30.7468,2601381
1998-09-10,30.4046,30.4979,29.4242,30.4979,2906124
1998-09-11,30.2178,31.5093,30.0311,31.5093,2585971
1998-09-14,31.8672,32.3495,31.7738,32.1472,2373468
1998-09-15,32.1161,32.5362,31.9917,32.3651,1691028
1998-09-16,32.3651,32.5985,31.9139,32.4896,1728841
1998-09-17,31.7427,31.9294,31.416,31.556,2302169
1998-09-18,31.556,31.6805,30.9335,31.0425,2399042
1998-09-21,29.9065,32.0227,29.8754,31.9138,2269040
1998-09-22,32.2094,32.5207,31.7893,31.8049,2237269
1998-09-23,32.0539,33.112,31.9917,32.8786,2255400
1998-09-24,32.754,33.5943,32.4273,32.5051,2187582
1998-09-25,32.3651,33.2831,32.3184,33.2364,1902638
1998-09-28,33.4854,33.9056,32.9097,33.2676,1989776
1998-09-29,33.2986,33.392,32.365,32.7229,1846284
1998-09-30,32.5517,32.7385,31.7737,31.9916,2161279
1998-10-01,31.1358,31.4781,30.7157,31.2136,3264916
1998-10-02,30.9025,31.1825,29.6109,31.0736,3803406
1998-10-05,30.8091,30.8091,29.2064,29.9377,3500491
1998-10-06,30.8712,30.8712,29.5642,29.6887,3741470
1998-10-07,29.751,30.5913,29.4087,30.0622,3428306
1998-10-08,30.0622,30.7468,29.0819,30.7468,4768861
1998-10-09,30.9803,31.8516,30.4979,31.696,3042477
1998-10-12,32.3962,33.0809,32.2562,32.5829,2813778
1998-10-13,32.4895,32.4895,31.5092,31.9138,2446226
1998-10-14,31.805,32.863,31.6649,32.4896,2497846
1998-10-15,32.365,34.5434,32.3028,33.9833,3402412
1998-10-16,34.1078,34.2323,33.5632,33.8433,2692217
1998-10-19,33.6099,34.808,33.6099,34.6991,2294096
1998-10-20,35.0103,35.4615,33.9833,34.3256,2949711
1998-10-21,34.8858,35.7728,34.6057,35.5238,4431158
1998-10-22,34.8547,35.726,34.7613,35.3059,2472840
1998-10-23,35.2281,35.7105,35.1503,35.2437,1638267
1998-10-26,35.1814,35.9594,34.8702,35.6171,1915241
1998-10-27,36.0995,36.5508,35.6171,35.9439,2973202
1998-10-28,36.0061,36.5662,35.8038,36.3951,1893158
1998-10-29,36.8464,37.2198,36.5974,37.0331,2644767
1998-10-30,37.2199,37.2977,36.7219,36.9709,2043265
1998-11-02,36.9553,37.2665,36.6752,36.9397,1813889
1998-11-03,36.9709,37.3288,36.6441,36.6908,1800246
1998-11-04,37.0642,37.282,36.2862,36.8152,2133468
1998-11-05,36.7685,37.2353,36.5507,37.0953,1715087
1998-11-06,37.119,37.6333,36.7762,37.3839,1861585
1998-11-09,37.5865,37.945,37.384,37.7424,1976183
1998-11-10,37.6177,39.0825,37.571,38.8955,2280168
1998-11-11,39.1448,39.6123,39.0201,39.176,2664898
1998-11-12,39.0669,39.8616,39.0513,39.363,2260555
1998-11-13,39.1448,39.2695,38.8332,39.2539,1563545
1998-11-16,39.55,39.8149,39.4098,39.737,1784389
1998-11-17,39.737,40.2357,39.3942,39.3942,2277667
1998-11-18,39.4098,39.7994,39.3007,39.6435,1524530
1998-11-19,39.7681,39.8616,39.4253,39.5344,1650546
1998-11-20,39.6124,39.924,39.5188,39.924,1665934
1998-11-23,40.1422,41.6382,40.0331,41.5291,2022240
1998-11-24,41.2641,41.6849,41.1395,41.2018,1732177
1998-11-25,41.1706,41.6225,40.9836,41.5758,1026871
1998-11-27,41.5447,42.4329,41.5447,42.3861,697377
1998-11-30,42.3238,42.5263,41.1083,41.1706,1443106
1998-12-01,40.7655,42.3861,40.7655,42.355,1897734
1998-12-02,42.1212,42.1991,41.0772,41.7472,1604855
1998-12-03,41.9498,42.2303,40.6408,40.7655,1684607
1998-12-04,41.046,41.233,40.4539,40.9525,1773489
1998-12-07,40.9993,41.9343,40.9525,41.6849,1383229
1998-12-08,41.9343,42.355,41.1551,41.9343,1937533
1998-12-09,41.903,42.3706,41.7317,42.2459,1220697
1998-12-10,42.2147,42.3861,40.8278,41.1395,1923292
1998-12-11,40.8902,41.9966,40.7032,41.8875,1821477
1998-12-14,41.5135,41.6382,40.5786,40.6097,1968359
1998-12-15,40.7655,41.3421,40.5162,41.1395,2026829
1998-12-16,41.607,41.607,40.9681,40.9836,1474246
1998-12-17,41.2486,42.2926,41.1551,41.4044,2285437
1998-12-18,41.5447,42.9316,41.5447,42.7757,2560216
1998-12-21,42.7756,44.6145,42.7756,43.9756,1950413
1998-12-22,44.2561,45.6274,43.6951,45.4404,2270153
1998-12-23,45.5495,46.2196,45.1599,46.1261,1843852
1998-12-24,46.0638,46.8585,45.8923,46.8585,795386
1998-12-28,46.5001,47.3572,46.3754,47.1858,1374205
1998-12-29,47.0299,47.1078,46.6247,46.6559,981179
1998-12-30,46.5936,47.0299,46.4533,46.5624,1255280
1998-12-31,46.5624,46.6715,45.7521,45.9703,1007938
1999-01-04,46.1261,46.5,45.2534,45.6274,2125410
1999-01-05,45.6274,47.3415,45.5807,47.2792,2583895
1999-01-06,47.4507,48.0584,46.9988,47.0611,2487922
1999-01-07,46.8585,47.9649,46.6247,47.4195,2166409
1999-01-08,47.6221,47.8714,46.2819,46.765,2393305
1999-01-11,47.1235,47.2325,46.6248,47.1858,1893822
1999-01-12,47.3728,47.3728,45.8768,46.1417,1763944
1999-01-13,45.6274,46.7338,44.7548,46.2507,2583321
1999-01-14,45.7833,46.1105,44.599,45.0353,2347196
1999-01-15,45.4404,46.2507,45.1911,46.1105,1770724
1999-01-19,46.8117,47.996,46.2507,47.9337,2190348
1999-01-20,48.6194,49.679,48.0273,48.4947,3295096
1999-01-21,49.2739,49.4298,47.887,49.1181,5321510
1999-01-22,45.8767,46.2507,44.2872,44.8171,9932538
1999-01-25,45.4404,45.5339,43.2588,45.3781,6096290
1999-01-26,45.8144,46.5,45.3469,46.2819,4980484
1999-01-27,46.578,46.578,44.334,44.4587,4650889
1999-01-28,44.7548,45.2067,44.2717,44.5522,3114257
1999-01-29,44.5523,45.8612,44.5055,45.6898,2638197
1999-02-01,46.0014,46.0014,44.7548,44.8171,1931792
1999-02-02,44.7703,45.0509,43.6328,44.0691,3058447
1999-02-03,43.851,44.1314,43.1497,43.6951,2920065
1999-02-04,43.6795,44.0067,42.1991,42.277,3029233
1999-02-05,42.4952,42.6355,41.0304,41.3888,4422530
1999-02-08,41.6934,42.1615,40.726,41.6934,3130247
1999-02-09,41.6934,42.3176,40.3827,40.6324,2823298
1999-02-10,40.5699,42.1615,40.5699,42.1615,2834315
1999-02-11,42.5048,44.6425,41.9742,44.5645,3281239
1999-02-12,44.0028,44.0028,42.7389,43.129,3046579
1999-02-16,43.6907,44.502,42.9261,43.0665,2355478
1999-02-17,42.5672,43.519,42.1459,42.5672,2344301
1999-02-18,42.9417,43.5658,42.4892,43.5034,2268778
1999-02-19,43.5346,43.6283,42.6921,42.8481,1930702
1999-02-22,43.0042,44.4241,42.7076,44.4241,2402591
1999-02-23,44.4396,44.939,43.8779,44.1744,2378825
1999-02-24,44.2524,44.861,43.2225,43.3786,2255617
1999-02-25,42.9418,43.4254,42.2708,43.3474,2734090
1999-02-26,42.692,42.9105,41.5685,42.3799,3864427
1999-03-01,42.3175,42.3175,41.2253,42.0367,2504595
